RegionName,Attribute,Time,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,hydrogen,e_demand
Unit,-,Year,PJ,PJ,PJ,PJ,PJ,kt,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ
Central,Export,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Export,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
