technology,dst_region,region,agent,sector,type,year,capacity,,,,,,,,,,,,,,,,,,,
e_tec,Central,Central,A1,residential,retrofit,2020,41.7978,,,,,,,,region,(Todas),,,,,,,,,,
e_tec2,Central,Central,A1,residential,retrofit,2020,20.8989,,,,,,,,sector,power,,,,,,,,,,
e_tec,Eastern,Eastern,A1,residential,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
e_tec2,Eastern,Eastern,A1,residential,retrofit,2020,81.3392,,,,,,,,Suma de capacity,Etiquetas de columna,,,,,,,,,,
e_tec,Western,Western,A1,residential,retrofit,2020,141.983,,,,,,,,Etiquetas de fila,BIO,COAL,GAS_GT,GEOTH,HYD,NUCL,OIL,PV_GND,PV_RFT,WIND_ON,Total general
e_tec2,Western,Western,A1,residential,retrofit,2020,70.9915,,,,,,,,2020,14.7586,294.5462,2940.177,53.9266,806.754,102.1766,135.2264,229.0778,0.3784,418.672,4995.6936
e_tec,Northwest,Northwest,A1,residential,retrofit,2020,69.1868,,,,,,,,2025,11.0694,220.9096,2205.1326,40.4452,605.0654,76.6324,101.4198,171.808,0.2838,314.0038,3746.77
e_tec2,Northwest,Northwest,A1,residential,retrofit,2020,34.5934,,,,,,,,2030,8.3018,165.6822,1653.8494,30.334,453.799,57.4744,76.0648,128.856,0.2128,235.5034,2810.0778
e_tec,North,North,A1,residential,retrofit,2020,53.5576,,,,,,,,2035,6.2264,124.2616,1240.3874,22.7502,340.3492,43.1058,57.0486,96.6422,0.1596,176.6272,2107.5582
e_tec2,North,North,A1,residential,retrofit,2020,26.7788,,,,,,,,2040,4.6698,93.1962,930.2904,17.0626,255.262,32.3294,42.7866,72.4814,0.1198,132.4704,1580.6686
e_tec,Northeast,Northeast,A1,residential,retrofit,2020,150.001,,,,,,,,2045,3.5024,69.8972,697.718,12.797,191.4464,24.247,32.0896,54.361,0.0898,99.3526,1185.501
e_tec2,Northeast,Northeast,A1,residential,retrofit,2020,75.0005,,,,,,,,2050,2.6266,52.4228,523.2884,9.5978,143.5848,18.1852,24.0674,40.771,0.0674,74.5144,889.1258
e_tec,BajaCalif,BajaCalif,A1,residential,retrofit,2020,26.5659,,,,,,,,Total general,51.155,1020.9158,10190.8432,186.9134,2796.2608,354.1508,468.7032,793.9974,1.3116,1451.1438,17315.395
e_tec2,BajaCalif,BajaCalif,A1,residential,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
e_tec,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
e_tec2,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
e_tec,Peninsular,Peninsular,A1,residential,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
e_tec2,Peninsular,Peninsular,A1,residential,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
e_tec,Central,Central,A2,residential,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
e_tec2,Central,Central,A2,residential,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
e_tec,Eastern,Eastern,A2,residential,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
e_tec2,Eastern,Eastern,A2,residential,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
e_tec,Western,Western,A2,residential,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
