AgentShare,Name,RegionName,Objective1,Objective2,Objective3,ObjData1,ObjData2,ObjData3,Objsort1,Objsort2,Objsort3,SearchRule,DecisionMethod,Quantity,MaturityThreshold,Budget,Type
Agent1,A1,Central,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,Central,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
Agent1,A1,Eastern,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,Eastern,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
Agent1,A1,Western,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,Western,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
Agent1,A1,Northwest,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,Northwest,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
Agent1,A1,North,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,North,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
Agent1,A1,Northeast,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,Northeast,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
Agent1,A1,BajaCalif,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,BajaCalif,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
Agent1,A1,BajaCalifSouth,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,BajaCalifSouth,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
Agent1,A1,Peninsular,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,New
Agent2,A1,Peninsular,LCOE,,,1,,,TRUE,,,all,singleObj,1,-1,inf,Retrofit
