,dst_region,asset,year,region,technology,installed,capacity
0,R1,0,2030,R1,gasCCGT,2010,5.00000000000
10,R1,1,2030,R1,solarPV,2020,25.50000000000
11,R1,1,2035,R1,solarPV,2020,25.50000000000
12,R1,1,2040,R1,solarPV,2020,25.50000000000
13,R1,1,2045,R1,solarPV,2020,25.50000000000
14,R1,1,2049,R1,solarPV,2020,25.50000000000
31,R1,3,2035,R1,solarPV,2030,46.50000000000
32,R1,3,2040,R1,solarPV,2030,46.50000000000
33,R1,3,2045,R1,solarPV,2030,46.50000000000
34,R1,3,2049,R1,solarPV,2030,46.50000000000
35,R1,3,2050,R1,solarPV,2030,46.50000000000
36,R1,3,2054,R1,solarPV,2030,46.50000000000
37,R1,3,2055,R1,solarPV,2030,46.50000000000
38,R1,3,2059,R1,solarPV,2030,46.50000000000
60,R2,1,2030,R1,solarPV,2020,11.33330000000
61,R2,1,2035,R1,solarPV,2020,11.33330000000
62,R2,1,2040,R1,solarPV,2020,11.33330000000
63,R2,1,2045,R1,solarPV,2020,11.33330000000
64,R2,1,2049,R1,solarPV,2020,11.33330000000
70,R2,2,2030,R1,solarPV,2025,16.62960000000
71,R2,2,2035,R1,solarPV,2025,16.62960000000
72,R2,2,2040,R1,solarPV,2025,16.62960000000
73,R2,2,2045,R1,solarPV,2025,16.62960000000
74,R2,2,2049,R1,solarPV,2025,16.62960000000
75,R2,2,2050,R1,solarPV,2025,16.62960000000
76,R2,2,2054,R1,solarPV,2025,16.62960000000
81,R2,3,2035,R1,solarPV,2030,19.57200000000
82,R2,3,2040,R1,solarPV,2030,19.57200000000
83,R2,3,2045,R1,solarPV,2030,19.57200000000
84,R2,3,2049,R1,solarPV,2030,19.57200000000
85,R2,3,2050,R1,solarPV,2030,19.57200000000
86,R2,3,2054,R1,solarPV,2030,19.57200000000
87,R2,3,2055,R1,solarPV,2030,19.57200000000
88,R2,3,2059,R1,solarPV,2030,19.57200000000
90,R2,4,2030,R2,gasCCGT,2010,5.00000000000
