,dst_region,asset,year,region,technology,installed,capacity
0,R1,0,2020,R1,gasCCGT,2010,20.00000000000
1,R1,0,2025,R1,gasCCGT,2010,10.00000000000
2,R1,0,2030,R1,gasCCGT,2010,5.00000000000
9,R1,1,2025,R1,solarPV,2020,25.50000000000
10,R1,1,2030,R1,solarPV,2020,25.50000000000
11,R1,1,2035,R1,solarPV,2020,25.50000000000
12,R1,1,2040,R1,solarPV,2020,25.50000000000
13,R1,1,2045,R1,solarPV,2020,25.50000000000
14,R1,1,2049,R1,solarPV,2020,25.50000000000
33,R2,1,2025,R1,solarPV,2020,11.33330000000
34,R2,1,2030,R1,solarPV,2020,11.33330000000
35,R2,1,2035,R1,solarPV,2020,11.33330000000
36,R2,1,2040,R1,solarPV,2020,11.33330000000
37,R2,1,2045,R1,solarPV,2020,11.33330000000
38,R2,1,2049,R1,solarPV,2020,11.33330000000
40,R2,2,2020,R2,gasCCGT,2010,20.00000000000
41,R2,2,2025,R2,gasCCGT,2010,10.00000000000
42,R2,2,2030,R2,gasCCGT,2010,5.00000000000
