,RegionName,ProcessName,Timeslice,electricity,gas,heat,CO2f,wind,cook,biomass,water,uranium,sun,coal,diesel,e_demand
0,Eastern,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,6'
1,Eastern,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,40
2,Eastern,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,100
3,Eastern,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,20
4,Eastern,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,10
5,Eastern,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,10
0,Western,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,20
1,Western,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,40
2,Western,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,100
3,Western,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,20
4,Western,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,10
5,Western,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,10
