CommodityType,CommodityName,CommodityEmissionFactor_CO2,HeatRate,Unit
Energy,electricity,0,1,PJ
Energy,oil,60,1,PJ
Energy,gas,56.1,1,PJ
Energy,geo,0,1,PJ
Energy,heat,0,1,PJ
Energy,hydrogen,0,1,PJ
Energy,wind,0,1,kt
Energy,lignite,0,1,PJ
Energy,biomass,0,1,PJ
Energy,water,0,1,PJ
Energy,uranium,0,1,PJ
Energy,solar,0,1,PJ
Energy,coal,0,1,PJ
Energy,diesel,80,1,PJ
Energy,biodiesel,80,1,PJ
Energy,ethanol,0,1,PJ
Material,steel,0,1,Mt/PJ
Material,cement,0,1,Mt/PJ
Material,chemicals,0,1,Mt/PJ
Material,minerals,0,1,Mt/PJ
Material,paper,0,1,Mt/PJ
Material,glass,0,1,Mt/PJ
Material,sugar,0,1,Mt/PJ
Material,beer,0,1,Mt/PJ
Material,vehicles,0,1,Mt/PJ
Material,construction,0,1,Mt/PJ
Material,beverages,0,1,Mt/PJ
Material,rubber,0,1,Mt/PJ
Material,fertilizers,0,1,Mt/PJ
Material,tobaco,0,1,Mt/PJ
Material,other_ind,0,1,Mt/PJ
Service,cars,0,1,pkm/PJ
Service,buses,0,1,pkm/PJ
Service,psg_rail,0,1,pkm/PJ
Service,psg_air,0,1,pkm/PJ
Service,psg_mar,0,1,pkm/PJ
Service,lorries,0,1,tkm/PJ
Service,cargo_rail,0,1,tkm/PJ
Service,cargo_air,0,1,tkm/PJ
Service,cargo_mar,0,1,tkm/PJ
Service,light,0,1,PJ/PJ
Service,heating,0,1,PJ/PJ
Service,cool,0,1,PJ/PJ
Service,hwater,0,1,PJ/PJ
Service,cook,0,1,PJ/PJ
Service,appl,0,1,PJ/PJ
Service,fruits,0,1,Mt/Mha
Service,vegt,0,1,Mt/Mha
Service,livestock,0,1,Mt/Mha
Service,milk,0,1,Ml/Mha
Service,other_agr,0,1,Mt/Mha
Service,seeds,0,1,Mt/Mha
Service,plants,0,1,Mt/Mha
Environmental,CO2f,0,1,kt
Energy,dry_gas,0,1,PJ
Energy,lp_gas,0,1,PJ
Energy,gasoline,0,1,PJ
Energy,kerosene,0,1,PJ
Energy,fuel_oil,0,1,PJ
Energy,asphalt,0,1,PJ
Energy,lubricant,0,1,PJ
Energy,diesel_oil,0,1,PJ
Energy,coke,0,1,PJ
Energy,other_ref,0,1,PJ
Energy,biogas,0,1,PJ
Energy,bioethanol,0,1,PJ
Energy,hydro,0,1,PJ
Energy,tidal,0,1,PJ
Energy,wave,0,1,PJ
Energy,cng,0,1,PJ
Energy,hardcoal,0,1,PJ
Energy,hfo,0,1,PJ
Energy,CO2r,0,1,PJ
Energy,CO2c,0,1,PJ
Energy,CO2s,0,1,PJ
Energy,CH4,0,1,PJ
Energy,N2O,0,1,PJ
Energy,F-gases,0,1,PJ
