technology,dst_region,region,agent,sector,type,year,capacity,,sector,power,,,,,,,,,,,,,,,
e_tec,Central,Central,A1,residential,retrofit,2020,41.7978,,region,(Todas),,,,,,,,,,,,,,,
e_tec2,Central,Central,A1,residential,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
e_tec,Eastern,Eastern,A1,residential,retrofit,2020,162.6785,,Suma de capacity,Etiquetas de columna,,,,,,,,,,,,,,,
e_tec2,Eastern,Eastern,A1,residential,retrofit,2020,81.3392,,Etiquetas de fila,BIO,C_H2,CC_GAS,CC_OIL,COAL,CSP,FB,GEOTH,HYD_LS,NUCL,OC_GAS,OC_OIL,ON_WIND,PV_GND,PV_SSG,Total general
e_tec,Western,Western,A1,residential,retrofit,2020,141.983,,2020,45.0958,,2615.3858,107.4682,350.8922,,36.5818,62.8962,797.3076,103.0596,750.9372,489.143,417.3042,355.1044,80.5414,6211.7174
e_tec2,Western,Western,A1,residential,retrofit,2020,70.9915,,2025,47.934,,2702.5514,107.4682,350.8922,1902.5074,36.5818,62.8962,2073.4305,103.0596,758.0798,489.2288,434.2706,2468.6841,129.107,11666.6916
e_tec,Northwest,Northwest,A1,residential,retrofit,2020,69.1868,,2030,31.5866,2817.9673,1965.289,4.627,267.6372,4445.1146,,3.9106,5304.7149,103.0596,313.5394,60.0324,411.9936,4704.8964,939.0038,21373.3724
e_tec2,Northwest,Northwest,A1,residential,retrofit,2020,34.5934,,2035,30.7824,5807.36,1224.2886,4.627,4.0996,6589.8616,,3.2798,7656.384,103.0596,180.1762,18.424,389.1362,6533.2705,1745.0517,30289.8012
e_tec,North,North,A1,residential,retrofit,2020,53.5576,,2040,19.2924,8471.5414,926.2478,,4.0996,8594.6406,,3.2798,11060.8315,103.0596,160.5084,3.252,253.7892,10391.9409,2424.0549,42416.5381
e_tec2,North,North,A1,residential,retrofit,2020,26.7788,,2045,,10955.9151,790.0674,,4.0996,10405.5505,,3.2798,14136.6678,103.0596,52.974,,26.1024,10024.0653,3142.687,49644.4685
e_tec,Northeast,Northeast,A1,residential,retrofit,2020,150.001,,2050,,12893.3686,157.5588,,,13452.4909,,,17376.5624,103.0596,,,,10811.6637,2349.6712,57144.3752
e_tec2,Northeast,Northeast,A1,residential,retrofit,2020,75.0005,,Total general,174.6912,40946.1524,10381.3888,224.1904,981.7204,45390.1656,73.1636,139.5424,58405.8987,721.4172,2216.215,1060.0802,1932.5962,45289.6253,10810.117,218746.9644
e_tec,BajaCalif,BajaCalif,A1,residential,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
e_tec2,BajaCalif,BajaCalif,A1,residential,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
e_tec,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
e_tec2,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
e_tec,Peninsular,Peninsular,A1,residential,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
e_tec2,Peninsular,Peninsular,A1,residential,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
e_tec,Central,Central,A2,residential,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
e_tec2,Central,Central,A2,residential,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
e_tec,Eastern,Eastern,A2,residential,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
e_tec2,Eastern,Eastern,A2,residential,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
e_tec,Western,Western,A2,residential,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
e_tec2,Western,Western,A2,residential,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
e_tec,Northwest,Northwest,A2,residential,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
e_tec2,Northwest,Northwest,A2,residential,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
e_tec,North,North,A2,residential,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
e_tec2,North,North,A2,residential,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
e_tec,Northeast,Northeast,A2,residential,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
e_tec2,Northeast,Northeast,A2,residential,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
e_tec,BajaCalif,BajaCalif,A2,residential,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
e_tec2,BajaCalif,BajaCalif,A2,residential,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
e_tec,BajaCalifSouth,BajaCalifSouth,A2,residential,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
e_tec2,BajaCalifSouth,BajaCalifSouth,A2,residential,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
e_tec,Peninsular,Peninsular,A2,residential,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
e_tec2,Peninsular,Peninsular,A2,residential,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
com_tec,Central,Central,A1,commercial,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
com_tec2,Central,Central,A1,commercial,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
com_tec,Eastern,Eastern,A1,commercial,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
com_tec2,Eastern,Eastern,A1,commercial,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
com_tec,Western,Western,A1,commercial,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
com_tec2,Western,Western,A1,commercial,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
com_tec,Northwest,Northwest,A1,commercial,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
com_tec2,Northwest,Northwest,A1,commercial,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
com_tec,North,North,A1,commercial,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
com_tec2,North,North,A1,commercial,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
com_tec,Northeast,Northeast,A1,commercial,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
com_tec2,Northeast,Northeast,A1,commercial,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
