Commodity,CommodityType,CommodityName,CommodityEmissionFactor_CO2,HeatRate,Unit
electricity,Energy,electricity,0,1,PJ
hfo,Energy,hfo,0,1,PJ
gas,Energy,gas,60,1,PJ
geo,Energy,geo,56.1,1,PJ
heat,Energy,heat,0,1,PJ
hydrogen,Energy,hydrogen,0,1,PJ
wind,Energy,wind,0,1,kt
cook,Energy,cook,0,1,PJ
biomass,Energy,biomass,0,1,PJ
water,Energy,water,0,1,PJ
uranium,Energy,uranium,0,1,PJ
solar,Energy,solar,0,1,PJ
coal,Energy,coal,0,1,PJ
diesel,Energy,diesel,80,1,PJ
biodiesel,Energy,biodiesel,80,1,PJ
ethanol,Energy,ethanol,0,1,PJ
steel,Energy,steel,0,1,Mt/PJ
cement,Energy,cement,0,1,Mt/PJ
chemicals,Energy,chemicals,0,1,Mt/PJ
minerals,Energy,minerals,0,1,Mt/PJ
pulp_paper,Energy,pulp_paper,0,1,Mt/PJ
glass,Energy,glass,0,1,Mt/PJ
sugar,Energy,sugar,0,1,Mt/PJ
beer,Energy,beer,0,1,Mt/PJ
vehicles,Energy,vehicles,0,1,Mt/PJ
construction,Energy,construction,0,1,Mt/PJ
bevergaes,Energy,bevergaes,0,1,Mt/PJ
rubber,Energy,rubber,0,1,Mt/PJ
fertilizers,Energy,fertilizers,0,1,Mt/PJ
tobaco,Energy,tobaco,0,1,Mt/PJ
other_ind,Energy,other_ind,0,1,Mt/PJ
cars,Energy,cars,0,1,pkm/PJ
buses,Energy,buses,0,1,pkm/PJ
psg_rail,Energy,psg_rail,0,1,pkm/PJ
psg_air,Energy,psg_air,0,1,pkm/PJ
psg_mar,Energy,psg_mar,0,1,pkm/PJ
lorries,Energy,lorries,0,1,tkm/PJ
cargo_rail,Energy,cargo_rail,0,1,tkm/PJ
cargo_air,Energy,cargo_air,0,1,tkm/PJ
cargo_mar,Energy,cargo_mar,0,1,tkm/PJ
light,Energy,light,0,1,PJ/PJ
heating,Energy,heating,0,1,PJ/PJ
cool,Energy,cool,0,1,PJ/PJ
hwater,Energy,hwater,0,1,PJ/PJ
cook,Energy,cook,0,1,PJ/PJ
appl,Energy,appl,0,1,PJ/PJ
fruits,Energy,fruits,0,1,Mt/Mha
vegt,Energy,vegt,0,1,Mt/Mha
livestock,Energy,livestock,0,1,Mt/Mha
milk,Energy,milk,0,1,Ml/Mha
other_agr,Energy,other_agr,0,1,Mt/Mha
seeds,Energy,seeds,0,1,Mt/Mha
plants,Energy,plants,0,1,Mt/Mha
CO2f,Environmental,CO2f,0,1,kt
